user_id,referral_id,country
4406636,4328170,TUR
4406489,4388423,NPL
4396951,4248900,BGD
4406418,2517139,USA
4406469,893793,MYS
4406353,1146971,MAR
4401524,1070090,LKA
4406309,4363311,BGD
4406243,3104651,TUR
4406197,4328170,TUR
4406236,4376585,USA
4406117,4376585,USA
4406064,4376083,IND
4405965,4388371,LKA
4405911,4364788,IND
4405953,4376585,USA
4405944,4376585,USA
4405931,4376585,USA
4405923,4376585,USA
4405918,4248900,BGD
4405903,4376585,USA
4405877,4388371,LKA
4405912,4376585,USA
4405898,4376585,USA
4405885,4376585,AUS
4405889,4376585,SGP
4405890,4388371,LKA
4405860,4376585,THA
4405884,4376585,USA
4405875,4376585,USA
4405863,4376585,ESP
4405551,4211199,JAM
4405769,4376585,ESP
4405798,4376585,THA
4405815,4376585,TUR
4405712,4388371,LKA
4405744,4388371,LKA
4405716,4376585,THA
4405751,4388371,LKA
4405699,4376585,THA
4405736,4376585,RUS
4405707,4376585,AUS
4405697,4376585,USA
4405689,4376585,THA
4405544,4376585,LTU
4405678,4376585,THA
4388111,4211199,USA
4405532,4376585,USA
4405520,4376585,IND
4405536,4254696,IND
4405517,4376585,USA
4405473,4211199,AUS
4404375,4388371,LKA
4403227,4376585,USA
4390016,4370769,VNM
4401429,1625655,IND
4405344,2642835,TUR
4405252,2416434,USA
4404922,2738296,UKR
4404894,4376585,USA
4404884,4376585,USA
4404839,4391878,TUR
4404855,4376585,USA
4404850,4376585,USA
4404864,4376585,USA
4404452,4393712,BLR
4404787,4394662,MAR
4387645,4367434,IDN
4404759,4376585,USA
4404770,4376585,USA
4404756,2640476,BGD
4404766,4376585,USA
4404742,4392986,TUR
4404732,4376585,LTU
4404718,4376585,USA
4404710,4376585,PRT
4404697,4376585,THA
4404665,4376585,THA
4404706,4376585,USA
4404698,4376585,USA
4404695,4376585,USA
4404654,4376585,THA
4404673,4376585,PER
4404661,4376585,USA
4404645,4300014,PHL
4404650,4376585,USA
4401475,4248900,BGD
4404621,4376585,THA
4404629,2375282,TUR
4404607,4376585,THA
4404599,1609981,BGD
4404596,4376585,THA
4404585,4376585,THA
4404546,4376585,AUS
4404571,4376585,THA
4404559,4376585,THA
4404545,4376585,THA
4404518,2066555,PAK
4404480,4376585,THA
4404462,4376585,AUS
4404474,4376585,THA
4404418,4376585,THA
4404404,4376585,THA
4404445,4376585,AUT
4404396,4361823,IDN
4404333,4376585,THA
4404313,4376585,THA
4399391,4393805,LKA
4404265,4393805,LKA
4404282,4376585,NZL
4401661,4391422,TUR
4404249,4391422,TUR
4404226,4392637,USA
4404214,4376585,THA
4404167,4376585,THA
4404180,1625655,BGD
4404188,4376585,THA
4404160,4404132,TUR
4404149,4376585,THA
4404134,4376585,THA
4404132,4336280,TUR
4404072,4350646,BGD
4404067,4347497,TUR
4404007,1102892,TUR
4403993,2980934,ITA
4403967,4376585,ZAF
4403968,4372795,KEN
4399489,4377466,LKA
4403942,4376585,TUR
4403940,4403932,CZE
4403895,4376585,PRT
4403878,4376585,TUR
4403827,4400857,LKA
4403862,4376585,PRT
4403823,4376585,KOR
4391182,4260647,ITA
4399884,4359139,PAK
4403682,4376585,THA
4403727,4376585,EGY
4403710,4376585,THA
4403671,4376585,AUS
